Name,Value,Definition,Instructions,
acknowledgement,"IOS Mooring Group; Roy Hourston, for metadata gathering; Emily Chisholm, for supplying the R script that performed the processing and netCDF file output.",An acknowledgement of teams or individuals who have helped with the data set,Optional,
agency,"IOS, Ocean Sciences Division, Sidney, B.C.","The organization through which data collection and processing were conducted, reads 'DFO' then the organization acronym",Required,
anchor_type,Unknown,The type of anchor used,Optional,
anchor_drop_time,Unknown,The date and time (format YYYY-MM-DD hh:mm:ss UTC) at which the anchor was dropped, obtained from mooring logs,Optional
anchor_release_time,Unknown,The date and time (format YYYY-MM-DD hh:mm:ss UTC) at which the anchor was released, obtained from mooring logs,Optional
comment,Archived raw .000 files were used to make this data set.,"A comment on the data set, processing or otherwise",Optional,
country,Canada,The country of the agency,Required,
country_institute_code,1823,The code number for the institute found at https://www.nodc.noaa.gov/General/NODC-Archive/institutionlist.txt,Required,
cruise_description,"The deployment cruise was taken on the John P. Tully. The recovery cruise was taken on the John P. Tully. The mooring was “relocated” 39.3 m shallower on May 3, 2019.",A description of the recovery and deployment missions,Optional,
cut_lead_ensembles,11,The number of leading ensembles to cut from the dataset,Required,
cut_trail_ensembles,0,The number of trailing ensembles to cut from the dataset,Required,
deployment_cruise_number,2018-25,The number of the deployment cruise,Required,
deployment_type,Sub Surface,The type of deployment (depth),Optional,
error_threshold,999,Maximum error velocity for evaluating adcp data (BIO standard is 0.46),Script-required,
featureType,profileTimeSeries,"The netCDF featureType of the data set, timeSeries, Profile, etc.",Do not touch,
flag_meaning,"no_quality_control, value_seems_correct, value_appears_inconsistant_with_other_values, value_seems_doubtful, value_seems_erroneous, value_was_modified, value_below_detection, value_in_excess, value_interpolated, value_missing",The meanings for each flag value,Do not touch,
flag_references,BODC SeaDataNet,The references for the flag values and meanings,Do not touch,
flag_values,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9",The values of each flag,Do not touch,
geographic_area,Offshore Barkley Sound,Geographic area of the station,Required,
history,"The metadata were extracted from the corresponding cruise log. The data were extracted from the raw ADCP binary file using an R routine provided by Emily Chisholm. Instrument depth was derived from reconciling all trustworthy pressure sensors on the mooring (i.e., Sea-Bird) and the mooring line length.",The history of the processing and data set,Optional,
instrument_depth,481.3,Depth of the instrument in meters,Required,
keywords,Oceans > Ocean Circulation > Ocean Currents,Relevant GCMD keywords that describe the data set found at https://earthdata.nasa.gov/earth-observation-data/find-data/gcmd/gcmd-keywords,Optional,
keywords_vocabulary,GCMD Science Keywords,The conventions used for the keywords,Optional,
latitude,48.5384666666667,Latitude of mooring,Required,
longitude,-126.195233333333,Longitude of mooring,Required,
naming_authority,"BODC, MEDS, CF v72",The organizations which distribute the naming conventions used in the document,Do not touch,
percentgd_threshold,0,The minimum percent good for evaluating beams one + four of the adcp (BIO standard is 25),Script-required,
platform,John P. Tully,The platform/ship name,Required,
processing_level,1,The level of processing to be performed on the data,Script-required,
project,La Perouse,The project under which data were collected,Required,
publisher_email,DFO.PAC.SCI.IOSData-DonneesISO.SCI.PAC.MPO@dfo-mpo.gc.ca,The email of the data shop which published and processed this data set,Required,
return_cruise_number,2019-69,The number of the return cruise,Required,
scientist,Unknown,The chief scientist of the project (last name first initial),Required,
sea_code,57A,The NODC code corresponding to the sea the station is in from NOAA at https://www.nodc.noaa.gov/General/NODC-Archive/seanamelist.txt,Optional,
sea_name,Northeast Pacific Ocean,From the list of sea names provided by NOAA at https://www.nodc.noaa.gov/General/NODC-Archive/seanamelist.txt,Optional,
station,A1,The station name for the mooring,Required,
deployment_number,58,The deployment number (used to follow a lettering scheme),Required,
variable_code_reference,BODC P01,The variable code reference for the netCDF file that is to be outputted,Do not touch,
water_depth,491.3,Water depth in meters,Required,
station_number,1,The number of stations that files will be compiled from to create the netCDF file,Required,
serialNumber,15482,The serial number of the instrument,Required,
instrumentSubtype,Workhorse,The instrument subtype,Required,
