Depth_min,Depth_max,T_Coast_N_Pac_min,T_Coast_N_Pac_max,S_Coast_N_Pac_min,S_Coast_N_Pac_max,O_Coast_N_Pac_min_umol_kg,O_Coast_N_Pac_max_umol_kg,sea_pressure_min [dbar],sea_pressure_max [dbar],sea_pressure_mean [dbar],salinity_SA_min,salinity_SA_max,density_min,density_max,salinity_SA_mean,Coast_N_Pac_min,Coast_N_Pac_max
0,50,-2.1,35,0.0,40.0,0,436,-0.0,50.42922304426106,25.21461152213053,0.0,40.19168548515871,994.5987649837554,1032.5012955939585,20.095842742579354,0.0,10.079724253352273
50,100,-2.1,35,20.0,40.0,0,349,50.42922304426106,100.87078393253957,75.65000348840032,20.09609553603593,40.19219107207186,1009.2888853986453,1032.7425391404036,30.14414330405389,0.0,8.070288308815316
100,250,-2.1,30,26.0,40.0,0,349,100.87078393253957,252.26939205483976,176.57008799368967,26.12712115722423,40.1955710111142,1015.5571563473899,1033.4664959831887,33.16134608416921,0.0,8.07594561470036
250,300,-2.1,28,26.0,40.0,0,349,252.26939205483976,302.76020267171947,277.5147973632796,26.128912879059605,40.19832750624555,1016.838839429984,1033.7087021527682,33.16362019265257,0.0,8.077838316457672
300,500,-2.1,28,30.0,40.0,0,349,302.76020267171947,504.8462129304358,403.80320780107763,30.151289658541845,40.20171954472246,1019.9955160945227,1034.6692226912753,35.17650460163215,0.0,8.085344231415666
500,600,-2.1,28,30.5,40.0,0,349,504.8462129304358,605.9627357910622,555.404474360749,30.65633775680361,40.205033123676856,1021.2141168438526,1035.1494961039728,35.43068544024023,0.0,8.08909729160311
600,700,-2.1,20,30.5,40.0,0,305,605.9627357910622,707.1281613827317,656.545448586897,30.657793765763568,40.206942643624345,1024.0013101648722,1035.6277785720483,35.43236820469396,0.0,7.072534705100081
700,800,-2.1,20,32.0,40.0,0,305,707.1281613827317,808.3424077420698,757.7352845624007,32.16692716594283,40.20865895742854,1025.5594890765462,1036.105043927756,36.18779306168568,0.0,7.075794057409499
800,1000,-2.1,20,33.0,40.0,0,305,808.3424077420698,1010.9170343488626,909.6297210454661,33.173878492004164,40.21076180848989,1026.741266226205,1037.05591939115,36.69232015024703,0.0,7.082287799518611
1000,1100,-2.1,18,33.0,40.0,0,305,1010.9170343488626,1112.2772501180425,1061.5971422334526,33.175245636995335,40.21241895393373,1028.1368119421556,1037.530545186683,36.69383229546453,0.0,7.085529125678741
1100,1750,-2.1,18,33.0,38.0,0,305,1112.2772501180425,1772.2969494692043,1442.2870997936234,33.17810354644723,38.205088932272574,1028.5711803998408,1038.9924252185722,35.6915962393599,0.0,7.095512632759331
1750,2500,-2.1,13,33.0,38.0,0,305,1772.2969494692043,2536.3742557679743,2154.3356026185893,33.17985488041834,38.20710561987566,1032.6191645639008,1042.4866500897479,35.693480250147005,0.0,7.1193754792184025
2500,3000,-2.1,13,33.0,35.5,0,305,2536.3742557679743,3047.2403395678775,2791.807297667926,33.17879798219267,35.692343283873925,1035.864680101695,1042.8187140312746,34.435570633033294,0.0,7.121643218457687
3000,4000,-2.1,7,33.0,35.5,0,305,3047.2403395678775,4072.4803939007543,3559.860366734316,33.1785673666906,35.69209519750049,1039.3826763405766,1047.374615197987,34.43533128209555,0.0,7.152756490794788
4000,5000,-1.5,7,33.0,35.5,0,218,4072.4803939007543,5102.3278403578215,4587.404117129288,33.1785673666906,35.69209519750049,1043.7250839272583,1051.731531992404,34.43533128209555,0.0,5.13372906953145
5000,5500,-1.5,3,34.3,35.5,0,218,5102.3278403578215,5618.9531957548825,5360.640518056352,34.48560183871174,35.69209519750049,1049.9016151208095,1053.923076134181,35.08884851810612,0.0,5.144426470460837
