Name,Value,Definition,L0 Instructions,L1 Instructions
acknowledgement,"IOS Mooring Group; Roy Hourston, for metadata gathering and data processing; Emily Chisholm, for supplying the R script that performed the processing and netCDF file output.",An acknowledgement of teams or individuals who have helped with the data set,Optional,Optional
agency,"IOS, Ocean Sciences Division, Sidney, B.C.","The organization through which data collection and processing were conducted, reads 'DFO' then the organization acronym",Optional,Optional
anchor_type,"2700 lbs, 4 wheels",The type of anchor used,Optional,Optional
anchor_drop_time,2006-05-30 21:47:00 UTC,The date and time (format YYYY-MM-DD hh:mm:ss UTC) at which the anchor was dropped,Optional (obtained from mooring logs),Optional (obtained from mooring logs)
anchor_release_time,2006-10-14 17:50:00 UTC,The date and time (format YYYY-MM-DD hh:mm:ss UTC) at which the anchor was released,Optional (obtained from mooring logs),Optional (obtained from mooring logs)
comment,Archived raw .000 files were used to make this data set.,"A comment on the data set, processing or otherwise",Optional,Optional
country,Canada,The country of the agency,Optional,Optional
country_institute_code,1823,The code number for the institute found at https://www.nodc.noaa.gov/General/NODC-Archive/institutionlist.txt,Optional,Optional
cruise_description,The deployment cruise was taken on the John P. Tully. The recovery cruise was taken on the John P. Tully. Lost mast-head PAR sensor on A-frame,A description of the recovery and deployment missions,Optional,Optional
cut_lead_ensembles,9,The number of leading ensembles to cut from the dataset,Optional (use value = 0),Required
cut_trail_ensembles,0,The number of trailing ensembles to cut from the dataset,Optional (use value = 0),Required
deployment_cruise_number,2006-10,The number of the deployment cruise,Optional,Optional
history,The metadata were extracted from the corresponding processed .adcp file provided by Roy Hourston. The data were extracted from the raw ADCP binary file using an R routine provided by Emily Chisholm. Instrument depth was derived from the shipboard depth sounder and the mooring line length.,The history of the processing and data set,Optional,Optional
instrument_depth,7,Depth of the instrument in meters,Optional,Optional
latitude,47.5977,Latitude of mooring,Required,Required
longitude,-124.5903,Longitude of mooring,Required,Required
platform,John P. Tully,The platform/ship name,Required,Required
processing_level,1,The level of processing to be performed on the data,Optional,Optional
project,ECOHAB,The project under which data were collected,Optional,Optional
publisher_email,DFO.PAC.SCI.IOSData-DonneesISO.SCI.PAC.MPO@dfo-mpo.gc.ca,The email of the data shop which published and processed this data set,Optional,Optional
return_cruise_number,2006-33,The number of the return cruise,Optional,Optional
scientist,Thomson R.,The chief scientist of the project (last name first initial),Optional,Optional
sea_code,57A,The NODC code corresponding to the sea the station is in from NOAA at https://www.nodc.noaa.gov/General/NODC-Archive/seanamelist.txt,Optional,Optional
sea_name,Northeast Pacific Ocean,From the list of sea names provided by NOAA at https://www.nodc.noaa.gov/General/NODC-Archive/seanamelist.txt,Optional,Optional
station,EH2,The station name for the mooring,Optional,Optional
deployment_number,4,The deployment number (used to follow a lettering scheme),Optional,Optional
water_depth,45.5,Water depth in meters,Required,Required
instrumentSubtype,Workhorse,The ADCP instrument subtype,Required,Required
serialNumber,453,The ADCP serial number,Required,Required
magnetic_variation,17.97,The average magnetic variation of the timeseries,Optional,Required
